Prime,Prime_Diff,Cluster,Spiral_X,Spiral_Y
27691,6.0,True,-114.25647363705573,-120.98123090804123
27697,4.0,True,-114.1102234603931,-121.14395115654413
27701,32.0,False,-113.95962782510757,-121.30211550489537
27733,4.0,True,-113.86630880808809,-121.52145373727687
27737,2.0,True,-113.71519046316327,-121.67931400992734
27739,4.0,True,-113.55975952940325,-121.8325942251256
27743,6.0,True,-113.40820987903514,-121.99007308807025
27749,2.0,True,-113.26052358847343,-122.15176542508446
27751,12.0,False,-113.10445585000133,-122.30446462363957
27763,4.0,True,-112.96852924175798,-122.47902433051172
27767,6.0,True,-112.8160834118665,-122.63576690185772
27773,6.0,True,-112.66747697943848,-122.7967411256818
27779,12.0,False,-112.51864105876201,-122.95753500412036
27791,2.0,True,-112.38170797439795,-123.13144079704882
27793,6.0,True,-112.22431956777528,-123.28301625751155
27799,4.0,True,-112.07479025248843,-123.4432719505633
27803,6.0,True,-111.9210068967456,-123.59890054211094
27809,8.0,False,-111.7710268412452,-123.75878780455812
27817,6.0,True,-111.62483152324587,-123.92294778372155
27823,4.0,True,-111.47438909280426,-124.08247489628052
27827,20.0,False,-111.31971859080394,-124.23735449881498
27847,4.0,True,-111.19678266989318,-124.42779240935101
27851,32.0,False,-111.04163309728882,-124.5823250669496
27883,10.0,False,-110.94198663139244,-124.7993413535502
27893,8.0,False,-110.79823927916347,-124.966996333581
27901,16.0,False,-110.65027371295682,-125.13000010887775
27917,2.0,True,-110.51790525857214,-125.31078412194728
27919,22.0,False,-110.35757793412512,-125.45997366695684
27941,2.0,True,-110.23650962121502,-125.65393725041716
27943,4.0,True,-110.0757194483127,-125.80276621734657
27947,6.0,True,-109.91866155263433,-125.95589641806149
27953,8.0,False,-109.76531762878422,-126.11334206122727
27961,6.0,True,-109.61566891602783,-126.27511682074096
27967,16.0,False,-109.46186855146405,-126.43219262997067
27983,14.0,False,-109.32737982818469,-126.61170569858001
27997,4.0,True,-109.18869969176099,-126.78654447386141
28001,18.0,False,-109.03027495938326,-126.93856444076121
28019,8.0,False,-108.89884839074541,-127.12214920763984
28027,4.0,True,-108.74771784252198,-127.28288912514219
28031,20.0,False,-108.58860331610506,-127.43435655213854
28051,6.0,True,-108.46021470170756,-127.62202720086962
28057,12.0,False,-108.30448914460844,-127.77768831500045
28069,12.0,False,-108.16010133447551,-127.94683458107119
28081,6.0,True,-108.01545123610148,-128.11581594112954
28087,10.0,False,-107.8590191322859,-128.27093198313167
28097,2.0,True,-107.7100320212264,-128.4349991318036
28099,10.0,False,-107.54548828081205,-128.58058932219015
28109,2.0,True,-107.3960316748283,-128.7442906714674
28111,12.0,False,-107.23107014349394,-128.88947822022206
28123,28.0,False,-107.08495275068506,-129.0574015482396
28151,12.0,False,-106.96897745007621,-129.26189640913168
28163,18.0,False,-106.82228390851901,-129.42951618764465
28181,2.0,True,-106.68668778476265,-129.6107659475731
28183,18.0,False,-106.52055662812701,-129.75504235147858
28201,10.0,False,-106.38441359708007,-129.93597093801782
28211,8.0,False,-106.23290688422233,-130.09830704097635
28219,10.0,False,-106.07739503236604,-130.25584924734613
28229,48.0,False,-105.9254029918994,-130.41782470584192
28277,2.0,True,-105.84430851442737,-130.6674494857182
28279,4.0,True,-105.67675091739045,-130.8106429750417
28283,6.0,True,-105.51273032450877,-130.95825189527957
28289,8.0,False,-105.35222801146476,-131.1102896534835
28297,10.0,False,-105.19522482722465,-131.26676911370095
28307,2.0,True,-105.04170119800231,-131.42770259511352
28309,10.0,False,-104.87311583855774,-131.56986575319007
28319,30.0,False,-104.7191305394403,-131.730420552975
28349,2.0,True,-104.60180565042864,-131.93734215403143
28351,36.0,False,-104.43253189724503,-132.07893958361
28387,6.0,True,-104.3255622453852,-132.29957317461103
28393,10.0,False,-104.16313694546595,-132.4501449666255
28403,6.0,True,-104.00781897307238,-132.60985480900206
28409,2.0,True,-103.84494760531113,-132.76003486309497
28411,18.0,False,-103.67456213066343,-132.90065901648197
28429,4.0,True,-103.53312490350658,-133.07851835557423
28433,6.0,True,-103.36594434699518,-133.22342717875824
28439,8.0,False,-103.20219023581252,-133.37281556048507
28447,16.0,False,-103.04184324502515,-133.52669598498898
28463,14.0,False,-102.89572942083572,-133.6991730227011
28477,16.0,False,-102.74572439418945,-133.86678497190135
28493,6.0,True,-102.59905146220426,-134.03892956546602
28499,14.0,False,-102.4341257391928,-134.187368571141
28513,4.0,True,-102.28333603574275,-134.3544534781015
28517,20.0,False,-102.11437559132285,-134.4977854746845
28537,4.0,True,-101.97380574891307,-134.67866550082442
28541,6.0,True,-101.80439303421674,-134.82160642469265
28547,2.0,True,-101.63834074455345,-134.96906197604716
28549,10.0,False,-101.46496780407756,-135.10684774843023
28559,12.0,False,-101.30559810378256,-135.26335716976303
28571,2.0,True,-101.14952968070473,-135.42441672524285
28573,6.0,True,-100.97554042799673,-135.5615735939724
28579,12.0,False,-100.80842024224098,-135.7080042159037
28591,6.0,True,-100.65165030207167,-135.86848527701144
28597,6.0,True,-100.48408758328576,-136.01451445546007
28603,4.0,True,-100.31631386806083,-136.16033626546576
28607,12.0,False,-100.14482876504887,-136.30118587752287
28619,2.0,True,-99.98712218968362,-136.4608932853119
28621,6.0,True,-99.81172932681632,-136.59655445431395
28627,4.0,True,-99.6431142110626,-136.7415437616569
28631,12.0,False,-99.47081521956204,-136.88154338535108
28643,6.0,True,-99.31218985934223,-137.04046462757623
28649,8.0,False,-99.14293315107604,-137.18483446139837
28657,4.0,True,-98.97692142240136,-137.33378690527613
28661,2.0,True,-98.8037932101664,-137.47294441919354
28663,6.0,True,-98.6270289054211,-137.60708255496604
28669,18.0,False,-98.45695135833643,-137.75060337153585
28687,10.0,False,-98.30722943859624,-137.92276331377354
28697,6.0,True,-98.14353667279468,-138.07550908599183
28703,8.0,False,-97.97278298391488,-138.21842783936853
28711,12.0,False,-97.80522878115252,-138.3659539882063
28723,6.0,True,-97.64425352978459,-138.52292139790856
28729,22.0,False,-97.47285258295396,-138.66521917677022
28751,2.0,True,-97.32833079127491,-138.8459434963232
28753,6.0,True,-97.14970666393252,-138.97817992444664
28759,12.0,False,-96.97764737158167,-139.11986166710042
28771,18.0,False,-96.81547815183734,-139.27585286125915
28789,4.0,True,-96.66313585713468,-139.44618376371983
28793,14.0,False,-96.48704937590506,-139.58241043459472
28807,6.0,True,-96.32749229445469,-139.74267146531076
28813,4.0,True,-96.1543273623572,-139.88332756083784
28817,20.0,False,-95.97762762211323,-140.0189094230882
28837,6.0,True,-95.82732542705207,-140.1931656732876
28843,16.0,False,-95.65350816769948,-140.3331976946718
28859,8.0,False,-95.49603412865939,-140.49735750432433
28867,4.0,True,-95.32507880448505,-140.64184779402862
28871,8.0,False,-95.14731596333732,-140.7763768001324
28879,22.0,False,-94.97594150906545,-140.92044044235237
28901,8.0,False,-94.82732158337978,-141.0984729942967
28909,12.0,False,-94.65546738641355,-141.24214135257085
28921,6.0,True,-94.48993224519924,-141.3953772380754
28927,6.0,True,-94.31437318458856,-141.53373806551625
28933,16.0,False,-94.13861273709226,-141.67188003247423
28949,12.0,False,-93.97888438069927,-141.83430223524618
28961,18.0,False,-93.81240649453414,-141.9867331397701
28979,30.0,False,-93.65538246212866,-142.15368210451817
29009,8.0,False,-93.51741735889013,-142.34989515459134
29017,4.0,True,-93.34369504793796,-142.49194571903902
29021,2.0,True,-93.16333906132054,-142.62395400123162
29023,4.0,True,-92.97959334635908,-142.75081513303417
29027,6.0,True,-92.79887205475784,-142.8823619113454
29033,26.0,False,-92.62115547558668,-143.0186056370541
29059,4.0,True,-92.4750688686169,-143.20391627935516
29063,14.0,False,-92.29371166066257,-143.3348205702246
29077,24.0,False,-92.12801316759965,-143.49017105638484
29101,22.0,False,-91.97786523124718,-143.6700118587819
29123,6.0,True,-91.82423558764226,-143.84474185296162
29129,2.0,True,-91.64512683941118,-143.97975804462317
29131,6.0,True,-91.45954196103192,-144.10465705270678
29137,10.0,False,-91.28005279606492,-144.2392178346361
29147,6.0,True,-91.10661878801811,-144.38346170186784
29153,14.0,False,-90.92672310917466,-144.51758033065556
29167,6.0,True,-90.75907907486359,-144.67131562781424
29173,6.0,True,-90.57876434144193,-144.80499801587487
29179,12.0,False,-90.3982541333846,-144.93845469590192
29191,10.0,False,-90.22682194847974,-145.08659690363314
29201,6.0,True,-90.0520690978879,-145.2295591509842
29207,2.0,True,-89.87093999443466,-145.3623546332293
29209,12.0,False,-89.68347593567131,-145.4849619173606
29221,10.0,False,-89.51116231037568,-145.63224856413353
29231,12.0,False,-89.33555674913205,-145.77434033574838
29243,8.0,False,-89.16277895393299,-145.9212076745943
29251,18.0,False,-88.9836819464644,-146.05788012719634
29269,18.0,False,-88.81955244899902,-146.2193116614885
29287,10.0,False,-88.65514425889141,-146.3805499253065
29297,6.0,True,-88.47837825498618,-146.5215908368715
29303,8.0,False,-88.2953660916569,-146.65240648124487
29311,16.0,False,-88.11516834978649,-146.78800055416238
29327,6.0,True,-87.94676135640205,-146.94341484707664
29333,6.0,True,-87.76313328270717,-147.0735613099845
29339,8.0,False,-87.57931421267666,-147.20347727563114
29347,16.0,False,-87.39828258754198,-147.33818310522275
29363,20.0,False,-87.228930324305,-147.49275817638485
29383,4.0,True,-87.06524297324157,-147.65718223645743
29387,2.0,True,-86.87761698197258,-147.78118847652314
29389,10.0,False,-86.68686550469313,-147.89992342449415
29399,2.0,True,-86.50772288456544,-148.03855538786922
29401,10.0,False,-86.31662071916786,-148.15681215395838
29411,12.0,False,-86.13707281336244,-148.2949921175543
29423,6.0,True,-85.96023006521271,-148.43799664215254
29429,8.0,False,-85.7744134343104,-148.56564205764394
29437,6.0,True,-85.59131663715932,-148.69810528825687
29443,10.0,False,-85.40511773388104,-148.82528637587737
29453,20.0,False,-85.22451894332136,-148.9623488364743
29473,10.0,False,-85.05813619068967,-149.12448983237488
29483,18.0,False,-84.87707202179452,-149.26112234941522
29501,26.0,False,-84.70727949473266,-149.41779278453166
29527,4.0,True,-84.54866873750294,-149.59452735550184
29531,6.0,True,-84.35830708791514,-149.7153166020798
29537,30.0,False,-84.17062337974122,-149.8409361952392
29567,2.0,True,-84.01686025527042,-150.02722150611984
29569,4.0,True,-83.8230536152404,-150.14225149043335
29573,8.0,False,-83.63191770532235,-150.26211212720983
29581,6.0,True,-83.44625328607974,-150.3918974297333
29587,12.0,False,-83.25757685516933,-150.5163642140135
29599,12.0,False,-83.07713733956763,-150.65586364779372
29611,18.0,False,-82.89647176561911,-150.79514239129824
29629,4.0,True,-82.72395681483546,-150.9494848248818
29633,8.0,False,-82.53167847810037,-151.06793851637565
29641,22.0,False,-82.34478769465517,-151.1963489622754
29663,6.0,True,-82.17709537102313,-151.3602490628955
29669,2.0,True,-81.98699945479194,-151.48310770643678
29671,12.0,False,-81.79120879280782,-151.5955083906225
29683,34.0,False,-81.60901215676859,-151.7332169790003
29717,6.0,True,-81.45674920805125,-151.92694957925215
29723,18.0,False,-81.26582354875123,-152.0488931986788
29741,12.0,False,-81.09107844119767,-152.20130419035019
29753,6.0,True,-80.90790846000023,-152.33814475904651
29759,2.0,True,-80.71637919795049,-152.4593917381696
29761,28.0,False,-80.51925939892618,-152.5701440841177
29789,14.0,False,-80.35706354326213,-152.74731532404792
29803,16.0,False,-80.17569476633345,-152.8883840215983
29819,14.0,False,-79.9967726198049,-153.03436336462218
29833,4.0,True,-79.81492445256008,-153.17499089156857
29837,14.0,False,-79.61949939966024,-153.2897104027126
29851,12.0,False,-79.43721711681648,-153.4298814987998
29863,4.0,True,-79.25204600582843,-153.56468735972487
29867,6.0,True,-79.05606775432723,-153.67868476540008
29873,6.0,True,-78.86256643895916,-153.79758000261495
29879,2.0,True,-78.66888847244472,-153.9162304193747
29881,36.0,False,-78.46978218985717,-154.0243269197316
29917,4.0,True,-78.31504189967762,-154.2198243166284
29921,6.0,True,-78.11813382480523,-154.33261861230054
29927,20.0,False,-77.92366809870622,-154.45032194865334
29947,12.0,False,-77.74720249133088,-154.6039213757917
29959,24.0,False,-77.56010465540238,-154.73664777887305
29983,6.0,True,-77.38827733595151,-154.90014374097217
29989,22.0,False,-77.19297940039179,-155.0169149844322
30011,2.0,True,-77.01804089310163,-155.17480909280513
30013,16.0,False,-76.81722039382744,-155.28076072381322
30029,18.0,False,-76.63412048911032,-155.42268681521534
30047,12.0,False,-76.453319585951,-155.5695661891761
30059,12.0,False,-76.26464735380931,-155.70068581736913
30071,18.0,False,-76.07575971928786,-155.83157184323454
30089,2.0,True,-75.89422433166979,-155.97777634360023
30091,6.0,True,-75.69230871034665,-156.08226805789815
30097,6.0,True,-75.49526643638734,-156.19687815605943
30103,6.0,True,-75.29805301167143,-156.3112382800786
